Frame,Timestamp (s),Face Name,Top,Right,Bottom,Left
172,5.74,Arnab,454,149,490,113
179,5.98,Arnab,454,157,490,121
181,6.04,Arnab,454,161,490,125
460,15.36,Aditi,366,433,402,397
462,15.43,Aditi,366,437,402,401
463,15.46,Aditi,362,437,398,401
464,15.49,Aditi,362,441,398,405
465,15.53,Aditi,358,441,394,405
466,15.56,Aditi,358,445,394,409
467,15.59,Aditi,354,445,390,409
468,15.63,Aditi,354,449,390,413
469,15.66,Unknown,350,449,386,413
470,15.69,Aditi,346,453,382,417
471,15.73,Aditi,346,453,382,417
472,15.76,Aditi,346,457,382,421
473,15.79,Aditi,346,457,382,421
474,15.83,Aditi,346,457,382,421
475,15.86,Aditi,346,461,382,425
476,15.89,Aditi,346,461,382,425
477,15.93,Aditi,346,465,382,429
478,15.96,Aditi,342,465,378,429
479,15.99,Aditi,338,465,374,429
480,16.03,Unknown,334,469,370,433
482,16.09,Aditi,326,469,362,433
485,16.19,Unknown,318,465,354,429
501,16.73,Unknown,271,472,314,429
502,16.76,Aditi,262,475,314,423
503,16.8,Unknown,253,480,315,418
504,16.83,Aditi,257,475,308,423
505,16.86,Aditi,257,475,308,423
506,16.9,Aditi,246,480,308,418
507,16.93,Aditi,251,475,303,423
508,16.96,Aditi,251,475,303,423
509,17.0,Aditi,245,475,297,423
510,17.03,Unknown,239,475,291,423
511,17.06,Unknown,234,475,285,423
512,17.1,Unknown,222,475,274,423
514,17.16,Unknown,211,469,262,417
515,17.2,Unknown,205,469,257,417
516,17.23,Unknown,199,463,251,412
517,17.26,Unknown,191,467,253,405
518,17.3,Unknown,184,460,246,398
520,17.36,Unknown,177,453,239,391
527,17.6,Unknown,138,419,213,345
528,17.63,Unknown,130,411,204,337
529,17.66,Unknown,116,414,206,325
530,17.7,Aditi,106,404,196,315
531,17.73,Aditi,96,394,186,305
532,17.76,Aditi,76,394,166,305
533,17.8,Unknown,66,394,156,305
534,17.83,Unknown,44,402,152,294
535,17.86,Unknown,32,390,140,282
536,17.9,Unknown,20,390,128,282
537,17.93,Aditi,8,378,116,270
538,17.96,Unknown,0,378,104,270
